朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
唐,散,内,10361.0,附子散,《备急千金要方》卷八,附子  桂心各15g  细辛  防风  人参  干姜各18g,18g,温阳散寒，祛风通络。,中风(中经),中风，手臂不仁，口面喁僻。,上药治下筛。,每次1g，酒送下，一日三次，稍增之。,,y,6.0,,,
宋,散,内,10394.0,附子煎,《圣济总录》卷七,附子(炮裂，去皮、脐)150g  黑豆(洗)270g  天雄(炮裂，去皮、脐)150g  防风90g  天麻　川芎各150g,90g,温阳祛风。,中风(中经),柔风。四肢不收，腹中拘急。,上药前四味，将附子、天雄、防风三味锉细，与黑豆相和，用酒适量，煮候豆烂，去滓取汁；再将天麻、芎劳细锉为散，与前豆药汁同煎如稀饧。,每次1匙，空心用热汤或温酒调下。,,y,6.0,,,
宋,丸,内,10396.0,附子煎,《类编朱氏集验医方》卷一,大附子1枚(重24g，慢火炮裂，去皮，切作10片，同生姜、米泔淹一宿，去姜，薄片切，焙干)  防风30g  骨碎补15g(去毛，炒)  汉防己白术各15g  乳香6g<别研),30g,祛风散寒，活血通痹。,中风(中经),风寒湿邪客于经络，手臂无力，麻痹不仁，手足不随；筋骨诸疾，痛不能举。,上为细末，入乳香拌匀，好酒煮糊为丸。,每次20～30丸，空心用温酒送服。,,y,6.0,,,
明•休宁方广,丸,内,10780.0,郁金丹,《丹溪心法附余》卷十又名金矾丸(《赤水玄珠》卷十四),川芎60g  防风  郁金  猪牙皂荚　明矾各30g  蜈蚣(黄、赤脚者)各1条,30g,化痰开窍，祛风止痉。,止痉,痫疾。,上为末，蒸饼为丸，如梧桐子大。,每次15丸，空心用茶清送服。,,y,6.0,,,
宋•李师圣、郭稽中,散,内,554.0,七珍散 ,《产育宝庆集》卷上又名七宝散(《普济方》卷三五五),人参  石菖蒲  川芎  熟地黄各30g  细辛30g  防风15g  朱砂(研)15g,15g,补气养血，开窍安神。,止痉,产后气血俱虚，败血闭于心窍，神志不清，舌强不语。,上为末。,每次3g，薄荷汤调服，不拘时候。,,y,7.0,,,
清•冯兆张,丸,内,2137.0,天麻丸,《冯氏锦囊》卷三,天麻  半夏(姜制)  防风  羌活胆星  僵蚕  全蝎各等分,等分,祛风化痰止痉。,止痉,胎风,上为细末，面糊为丸，如芡实大，朱砂为衣。,钩藤煎汤送服。,,n,7.0,,,
清•沈善谦,丸,内、外,4180.0,水梅丸,《喉科心法》卷下,大青梅20个  猪牙皂30条  桔梗60g  防风60g  净食盐360g  块明矾90g  白芷60g,60g,开关催吐。,中风(中脏),中风痰厥，牙关不开。并喉痹乳蛾。,上为细末，拌匀，和青梅为丸，如鸡头实大，装入瓷瓶，愈陈愈佳。,痰厥口噤，用此擦牙；喉风乳蛾每次1丸，含咽津液。吐出恶涎立愈。,,y,7.0,,,
清,汤,内,6155.0,加味铁落饮,《重订通俗伤寒论》引胡在兹方,生石膏90g  青龙齿  辰茯神  青防风各45g  玄参  秦艽各30g  鲜生地120g,45g,清热泄肝，安神定惊。,止痉　安神,狂病。忿郁暴怒，肝气上逆，狂躁笑哭，面色清皎，大便通调者。,先用铁落250g，长流水2L，煮取1L，并以上七味加羚角15g，入铁汁中，煮取500ml，去滓，加入竹沥25ml。,分五次温服，一日服尽。,,y,7.0,,,
明•孙一奎撰,汤,内,7138.0,当归散 ,《赤水玄珠》卷十四,当归(酒洗)6g  川芎  熟地  防风　黄芪各9g  芍药4．5g  甘草1．2g,9g,补气养血，祛风解痉。,止痉,血虚及去血过多发痉。,水煎，去滓。,温服。,,y,7.0,,,
宋,煮散,内,8054.0,防己汤,《圣济总录》卷六,防己(锉)  桂  麻黄(去根、节，先煎掠去沫，焙干)  葛根(锉)各60g  甘草(炙，锉)　防风(锉)  芍药各30g,30g,祛风散寒，解肌舒筋。,中风或祛风解表(风寒),中风口噤，颈项筋急，饮食不下，失音不能言；亦治伤寒失音不能语，口噤。,上为粗末。每次98，以水150m1，加生姜4g(切)，煎取105m1，去滓。,温服，日三次，夜一次。,锉,y,7.0,,,
清•汪绂辑于1758年,煮散,内,8118.0,防风导赤散,《医林纂要》卷九,生地黄  木通  防风  甘草  黄芩　赤芍  羌活各等分,等分,祛风清热，养阴止痉。,止痉(小儿惊风),小儿初见惊搐之证而热尚浅者。, 每次9g，加竹叶3片，灯草3茎，水煎，去滓。,温服。,,n,7.0,,,[加减]  热不甚者，去黄芩、赤芍、羌活。
朝鲜　明•金礼蒙（1443）,散,内,679.0,八珍散 ,《医方类聚》卷二三五引《济生方》)  又名八珍汤(《寿世保元》卷七),人参  石菖蒲  生地黄(酒蒸，焙)　川芎各30g  朱砂(别研)  防风(去芦)各15g  细辛(洗净)3g  甘草(炙)15g,15g,益气和血，通心开窍。,止痉,产后败血停蓄，上干于心，心气闭塞，舌强不语。,上为细末。,每次3g，薄荷汤调服，不拘时候。,去芦,y,8.0,,,
宋•薛辛（1265）,散,内,4374.0,玉烛散,《女科万金方》,人参  生地  川芎  朱砂  防风  细辛  石菖蒲  甘草各3g,3g,益气补血，祛风开窍。,止痉,产后气血亏虚，复中风邪，神昏不语。,上为末。,每次3g，薄荷汤调服。,,y,8.0,,,
清,汤,内,6998.0,扫风汤,《辨证录》卷二,荆芥15g  防风9g  半夏9g  陈皮3g  天花粉4．5g  茯苓9g  黄芩6g  苏叶3g,9g,祛风消痰，清热化斑。,中风(中脏),真中风。猝然倒地，口吐涎沫，发狂号叫，自坐自起，自立自行，目不识人，身中发斑，数日后变成疮疖者。,水煎，去滓。 ,温服。,,y,8.0,,,
宋,煮散,内,7399.0,竹沥汤,《普济本事方》卷一,威灵仙(洗)  附子(炮裂，去皮、脐)　桔梗(炒)  防风  蔓荆子  枳壳(去瓤，细切，麸炒黄)  川芎(洗)  当归(洗，去芦，薄切，焙)各等分,等分,祛风通络，温经活血。,中风(中经),肝脾中风，四肢不遂，舌强语謇。,上为粗末。每次12g，用水150m1，入竹沥75ml，生姜3片，同煎至160mi，去滓。,温服，一日三、四次。,,n,8.0,,,
宋,煮散,内,8055.0,防己汤,《圣济总录》卷九,防己(锉)30g  竹沥(旋入)  防风(去叉，锉)30g  升麻30g  桂30g  麻黄(去根、节，先煎掠去沫，焙干)45g  川芎30g  羚羊角(镑)30g,30g,祛风散寒，活血通络。,中风(中经),中风。半身不遂，口面喁斜，语不得转。,上为粗末。每次用药36g，以水600ml，煎至300ml，去滓，入竹沥50ml，更煎。,温服，一日三次，空心、午时、夜深各一服。,去叉，锉,y,8.0,,,
宋,煮散,内,8079.0,防风汤,《圣济总录》卷七,防风  甘草(炙)  黄芩(去黑心)  白茯苓  当归(切，焙)各15g  杏仁(汤浸，去皮、尖、双仁，炒)50枚  秦艽7．5g  麻黄(去根、节，先煎，掠去沫，焙)30g,15g,祛风清热，养血通络。,中风(中脏),中风。舌强不得语，两目不开，短气欲死。,"上为粗末。每次30g，以水300ml，清酒150ml，加大枣3枚(去核)、生姜2枣大(拍碎)，同煎
  取230m1，去滓。",温服，一日三次。,,y,8.0,,,
明,煮散,内,8093.0,防风饮子,《普济方》卷三六一,防风  羌活  白附子  甘草  川芎　白茯苓  全蝎  人参各等分,等分,祛风止痉。,止痉(小儿惊风),小儿变蒸，惊悸，焦啼？（观左是口）乳，手足抽掣。,上为散。每次3g，加钩藤同煎，去滓。,温服。,,n,8.0,,,
宋,煮散,外,10341.0,附子汤,《太平圣惠方》卷六十八,附子15g(去皮、脐，生用)  防风15g  枳壳15g(去瓤)  羌活15g  白芷15g  甘草15g(锉，生用)  蜂房15g  花椒60g(去目),15g,温阳祛风，缓急舒筋。,止痉　虚,五指挛急。,上为散。每次30g，用水lL，加生姜30g，生桑枝15g，黑豆27g，同煎令豆熟，去滓。,着冷暖得所，避风淋蘸手指。水冷重暖用之。,,y,8.0,,,
明·徐彦纯撰,散,内,11799.0,经验如圣散,《玉机微义》卷一,苍术500g  川芎250g  细辛120g　防风  白芷各250g  草乌120g  川乌150g  天麻60g,250g,祛风止痛。,中风(中经),中风身体麻木走痛，眩晕头疼，牙关紧急，手足搐搦，涎潮闷乱；破伤风，疯狗、蛇、蝎等伤，金疮出血不止。,上为末。,每服1．5～3g，用温酒或茶清调服。如疯狗、蛇、蝎等伤，先用浆水口含洗净，用此贴上，仍服之至效。金疮出血不止，贴上立定。,,y,8.0,,,
宋,散,内,2147.0,天麻散,《圣济总录》卷一六一,天麻  荆芥穗  生地黄(焙)  独活  当归(切，焙)  桂  白僵蚕(炒)  防风(去叉)  延胡索各15g,15g,祛风散邪，养血通络。,产后中风,产后中风，口眼喁斜，筋脉不利。,上为细散。,每次6g，空心用薄荷酒调服。,去叉,y,9.0,,本方所治之证，是由产后血虚，风邪入络所致。方中天麻、防风、荆芥穗、独活、白僵蚕祛风散邪，化痰通络；肉桂温经散寒；病本血虚，且风药多燥，故又配生干地黄、当归养血活血，滋阴润燥以补弊救偏；结合延胡索行气活血通络，即寓有“治风先治血，血行风自灭”之义；用酒调服，通行血脉，以助药力。诸药合用，共奏祛风散邪，养血通络之效。,
宋,丸,内,2210.0,天南星丸,《太平圣惠方》卷二十,天南星15g(炮裂)  细辛15g  附子15g(炮裂，去皮、脐)  防风15g  天麻30g  半夏15g(汤浸七遍，去滑)  禹白附15g(炮裂)  旋覆花15g  川芎15g,15g,祛风化痰。,止痉,风痰上扰，头目旋晕，肢节拘急。,上为细末，炼蜜为丸，如绿豆大。,每次20丸，以荆芥、薄荷汤送服。,,y,9.0,,,
明,汤,内,2245.0,天麻二陈汤,《杏苑生春》卷六,防风  白术  茯苓  川芎各3g  陈皮  半夏各4．5g  白芷1.5g  天麻2g  甘草1g,3g,祛风化痰。,止痉,风痰上扰，致患眩晕。,上收咀。加生姜5片，水煎去滓。,食后温服。,,y,9.0,,,
明•鲁伯嗣（公元1526年）,煮散,内,2249.0,天麻定喘汤,《婴童百问》卷六又名天麻定喘饮(《保婴摄要》卷六),天麻30g  防风30g  羌活30g  甘草30g  人参15g  桔梗30g  白术15g  川芎15g  半夏曲30g,30g,祛风化痰。,止痉,小儿喘嗽，惊风。,上叹咀。每次6g，用水150m1，加麦门冬14个，煎至100m1，去滓。,食后服。,,y,9.0,,,
近代•路际平,汤,内,2254.0,天麻搜风汤,《眼科临证笔记》,明天麻9g  防风9g  钩藤9g  僵蚕6g  全蝎6g  蜈蚣1条  生石膏60g  甘草3g  犀角3g,9g ,熄风清热，消痰止痉。,止痉,辘轳转关症。,水煎，去滓。,温服。,,y,9.0,,,
明,汤,内,2459.0,木通汤,《普济方》卷三七八)又名木通散(《奇效良方》卷六十四),木通  石菖蒲  防风(去芦头)  枳壳  全蝎(焙)  僵蚕(焙)  甘草  木香  南星,wbz,祛风化痰，宣通心窍。,止痉(小儿风痫),小儿痫愈不能语；及急惊初发，血滞于心，心窍不通，语言不出。,上锉。猪心3片，或加紫苏、生姜，水煎，去滓。,温服。,去芦头,n,9.0,,,
宋,散,内,3580.0,升麻散,《大平圣惠方》卷三十四,川升麻30g  当归15g  防风15g(去芦头)  藁本15g  杏仁7．5g(汤浸，去皮、尖、双仁，麸炒微黄)  酸枣仁7．5g  细辛7.5g  白芷7．5g  川芎7．5g   ,15g,养血祛风。,止痉,血虚，风邪客于牙车，睡中断齿。,上为细散。,每次3g，以绵裹，常含咽津。,,y,9.0,,,
宋,膏,内,3724.0,乌豆煎,《圣惠》卷七十八又名乌金煎(《普济方》卷三五O,黑豆750g(炒熟)  天麻  羚羊角屑  防风(去芦头)  赤茯苓  羌活  桂心  酸枣仁(微炒)  生地黄各30g,30g,活血祛风，养心安神。,产后中风　虚,产后中风，言语謇涩，心神恍惚，筋脉不利。,上锉细，以水8L，煎至3L，绞去滓，更熬成膏。,每次1匙，以温酒调服，不拘时候。,去芦头,y,9.0,,,
明,煮散,内,3949.0,风痫汤,《普济方》卷三七七,竹沥  生地黄汁  冰片  生姜  防风  麻黄(去节)各12g  防己  附子(炮)各9g　石膏15g,12g,清热化痰，开窍通络。,止痉(小儿惊风),小儿风痛，痰热相感而动于心，顿闷无知，口出涎沫，或口噤不言，身反目直。,上为末。三岁儿用3g，水75m1，煎至20m1，去滓。,温服。,,y,9.0,,,
宋,汤,内,4842.0,四物瓜藤散,《陈素庵妇科补解》卷五,当归  川芎  白芍  生地  木瓜  钩藤  川断  丹皮  防风,wbz,养血温经，祛风舒络。,止痉,产后血虚，风寒客于皮肤，入于经络，四肢顽痹不仁，甚则拘挛，筋节不能自如。,水煎，去滓。,分二次温服。,,n,9.0,,,
宋,丸,内,7018.0,至圣保命丸,《杨氏家藏方》卷十七,全蝎14枚(去毒，炒)  朱砂(别研)　天麻  白附子(炮)  蝉蜕各6g  麝香1．5g(别研) 防风  白僵蚕(炒)各3g  金箔10片(临时研入),3g,平肝熄风，化痰定惊。,止痉(小儿惊风),小儿胎惊内吊，腹肚坚硬，眠睡不安，夜多啼哭；及急慢惊风，目睛上视，手足抽掣，不省人事。,上为细末，用粳米饭和丸，每30g作40丸，别用朱砂为衣。,初生儿，每次半丸，乳汁化服；周岁儿，每次1丸，薄荷汤化服。,,y,9.0,,,
宋,煮散,内,7093.0,当归散,《太平圣惠方》卷十九,当归30g(锉，微炒)  细辛30g  防风30g  桂心30g  独活60g  麻黄60g(去根节)  附子30g(炮裂，去皮、脐)  川芎30g  薏苡仁30g,30g,祛风解痉，温经活络。,止痉,外感风寒，致患痉病，摇头口噤，身体强直。,"上为粗散。每次l0g，以水、酒各
125ml，加生姜3．25g，煎至125ml，去滓。",温服，不拘时候。,,y,9.0,,,
宋,煮散,内,7398.0,竹沥汤,《圣济总录》卷一六一,竹沥15g  防风45g  升麻30g  羌活  桂  川芎  羚羊角屑各30g  麻黄(去根、节，煎，掠去沫，焙)45g  杏仁(去皮尖双仁，炒)80枚,45g,祛风清热，平肝化痰。,止痉,产后中风，口眼喁斜，言语不利，手足不遂。,上药除竹沥外，余为粗末，每次9g，用水300ml，煎至210ml，去滓，入竹沥30ml，再煎至150ml。,不拘时候温服。,,y,9.0,,,
宋,煮散,内,7944.0,羊心汤 ,《圣济总录》卷一六三,羊心1枚(以水750ml，煎取450ml汁用)  甘草(炙)30g  远志(去心)15g  防风(去叉)30g  生地黄(焙)45g  芍药(锉)  牡蛎(熬)各30g  人参45g  羚羊角(镑屑)15g,30g,补益气血，镇惊安神。,止痉(产后中风),产后气血两虚，惊悸，神志不宁。,上药除羊心外，共为粗末。,每次9g，以煮羊心汁150ml，煎至105ml，去滓温服，不拘时候。,去叉,y,9.0,,,
清,散,内,8065.0,防己散,《医略六书》卷二十八,防己30g  羌活30g  当归60g  防风30g  白芍30g(jiu炒)  川芎30g  米仁120g(炒)  甘草18g  羚羊角30g,30g,祛风通络，养血活血。,止痉,孕妇中风，口眼歪斜，脉浮者。,上为散。每次15g，水煎，去滓，加竹沥200ml，姜汁15ml。,温服。,,y,9.0,,,
元,丸,内,8077.0,防风丸 ,《世医得效方》卷十一,天麻  防风  人参各30g  全蝎(去毒)7个  僵蚕(炒断丝)  粉草各15g  朱砂  雄黄各10．5g  麝香1．5g,30g,熄风开窍，益气健脾。,止痉(小儿惊风),小儿慢惊，昏睡不省，手足微动，眼上视。,上为细末，炼蜜为丸，如小指头大。,每次l丸，用人参汤或冬瓜仁汤化服，不拘时候。,,y,9.0,,,
宋,煮散,内,8083.0,防风汤,《普济本事方》卷一,石斛45g  熟地黄(酒洒，九蒸九晒，焙干)  杜仲(去皮，锉如豆，炒令黑)  丹参各37．5g  防风  川芎(洗)  麦冬(用水泡，去心)　桂枝(不见火)  川独活各30g,30g,滋阴补肾，活血祛风。,中风(中经)虚,中风内虚，脚弱，语謇。,上为粗末。每次15g，以水300ml，加大枣二枚，同煎至240ml，去滓。,温服，一日三次。,,y,9.0,,,
明,散,内,8090.0,防附汤,《普济方》卷三七四引《卫生家宝》,防风7．5g  僵蚕7．5g(炮)  白附子  7．5g(炮)  川芎15g  荆芥7．5g  雄黄3g  全蝎7个(瓦焙干)  朱砂3g  麝香少许,7.5g,祛风化痰。,止痉,小儿惊风，及一切头风。,上为细末。,每次1．5g，用好茶清调服；小儿惊风，用冬瓜子汤调服，一日二次。,,y,9.0,,,
明•武之望,煮散,内,8117.0,防风羊角汤,《济阴纲目》卷十二又名防风羚羊角汤(《医略六书》卷三十),防风30g  赤芍(炒)  桂心各15g　羚羊角  川芎  羌活  当归  酸枣仁(炒)  牛蒡子(炒)各6g,30g,养血祛风，清热止痉。,止痉,产后血亏，外感风邪，热郁于经，肢体挛痛，项背强直，脉浮数者。,上锉。每次12g，水煎，去滓。,温服。,,y,9.0,,,
明•万全(密斋),散,内,8199.0,观音散,《幼科发挥》卷二,全蝎(去毒，炒)10个  天麻(煨)  防风  白芷  黄芪  甘草  白茯苓各7．5g  人参6g  扁豆(jiang汁炒)4．5g,7.5g,平肝熄风，益气健脾。,止痉(小儿惊风),小儿慢惊风。,上为末。,每次2g，枣汤调服。,,y,9.0,,,
宋,煮散,内,9711.0,沙参散,《太平圣惠方》卷四,沙参22．5g  白茯苓22．5g  远志15g(去心)  犀角屑15g  甘草15g(炙)  防风15g  龙齿30g  天冬30g(去心)  生地黄30g,15g,养阴清心，安神镇惊。,止痉　安神,心阴不足，血分热盛，心神不安，心悸恍惚多忘，惊恐。,上为粗散。每次9g，以水250ml，加生姜3g、大枣2枚，煎至150ml，去滓,温服，不拘时候。,,y,9.0,,,
金•刘完素,煮散,内,9868.0,羌活防风汤 ,"《素问病机气宜保命
    集》卷中",羌活  防风  川芎  藁本  当归  芍药  甘草各30g  地榆  华细辛各60g,30g,祛风解表，凉血止痉。,止痉,破伤风，邪初传在表。,上叹咀。每次15～21g，用水225m1，同煎至160m1，去滓。,热服，不拘时候。,,y,9.0,,,
宋•朱肱撰于1108年,煮散,内,10414.0,附子防风散,《类证活人书》卷十七又名附子防风汤(《古今医统》卷十四),白术30g  白茯苓22．5g  柴胡45g(去苗)  五味子30g  干姜22．5g(炮裂，切)  甘草22．5g(炙微赤，切)  附子22．5g(炮裂，去皮、脐)　桂心15g  防风22．5g,22.5g,温阳散寒，祛风止痉。,止痉,伤寒阴痉，闭目合面，手足厥逆，筋脉拘急，汗出不止。,上为粗散。每次9g，以水150ml，加生姜4片，煎至90m1，去滓。,温服，不拘时候。,,y,9.0,,,
清,汤,内,11054.0,和血熄风汤,《医学衷中参西录》,当归30g  生黄芪18g  真阿胶12g(不炒)  防风9g  荆芥9g  川芎9g  生杭芍6g　红花3g  生桃仁4．5g(带皮、尖，捣),9g,养血活血，祛风定搐。,止痉,产后受风发搐。,水煎，去滓。,一日分二次温服。,,y,9.0,,方中重用当归养血和血，生黄耆补气生血，两药相配，其养血和血之功更著；又以阿胶滋阴养血，川芎、杭芍、红花、桃仁活血化瘀，荆芥、防风疏散风邪。诸药合用，共奏养血和血，祛风定搐之功。,
金•刘完素撰,散,内、外,11248.0,金刀如圣散,《伤寒标本》卷下,茅山苍术180g(米泔浸一日一夜)白芷60g  川乌120g(去皮、脐，生用)  防风120g(净，生用)  细辛90g(去土，净)  白术75g  草乌120g  两头尖(无则用川芎)120g  雄黄150g(另研细末入药),120g,祛风解毒。,止痉,金疮，破伤风，蛇、蝎伤，疯狗咬伤，汤火烫伤，雷头风，干湿癣，麻痹。,上药俱各生用，晒干为末。,"一切金疮及多年恶疮，用自己小便洗
过，贴药立效；破伤风紧急，每次1．5～3g，用好酒调
服；蛇伤，入枯白矾调敷；疯狗咬伤，口噙水洗净，将
药贴伤处；汤火烫伤者，以新汲水调药敷之；雷头风
并干湿癣，麻痹，每服1．5g，立效。",,y,9.0,,,
明•张时彻,丸,内,368.0,十龙换骨丹,《摄生众妙方》卷三,独活  羌活  川乌(炮，去皮)  草乌(炮，去皮)  当归(jiu浸，去粗皮)  防风  川芎  天麻  何首乌(去黑皮)  海桐皮(去粗皮),wbz,祛风除湿，活血通络。,中风(中经),左瘫右痪，口眼歪斜，半身不遂；风湿走注疼痛。,"上为细末，炼蜜为丸，每30g作10丸，
  金箔为衣。",每次1丸，好酒或茶送服。,,n,10.0,,,
宋,丸,内,752.0,人参丸,《太平圣惠方》卷四,人参30g  茯神45g  龙齿30g(细研如粉)  白术15g  防风22．5g(去芦头)  金、银箔各50片(细研)  麦冬15g(去心，焙)  甘草15g(炙微赤，锉)  熟地黄30g,22.5g,补气养血，镇心安神。,止痉　安神,心脏风虚，心忪惊悸；或因忧虑之后，时有恍惚，心神不安。,上为末，入研了药令匀，炼蜜为丸，如梧桐子大。,每次20丸，以粥饮送下，不拘时候。,,y,10.0,,,
明,丸,内,1178.0,三军上马无敌丸,《医方类聚》卷二十三引《经验秘方》,川牛膝  当归  干木瓜  乳香  防风  苍术(米泔水浸，炒)  川萆薢  狗脊  虎骨  没药各等分,等分,活血化瘀，舒经通络。,中风(中经),中风，半身不遂，浑身麻痹。,上为细末，酒糊为丸，如梧桐子大。,每次30～40丸，空心用温酒或热盐汤送服。,,n,10.0,,,
宋,丸,内,1489.0,大天南星丸,《太平惠民和剂局方》卷十)  又名天南星丸(《圣济总录》卷一七一,冰片(研)  牛黄(研)  乳香(研)各3g  天南星(牛胆制者)15g  人参  天麻(去芦)　防风(去芦)各7．5g  朱砂(研)9g  干蝎14个(汤浸润，去土，微炒，为末)  麝香(研)4．5g,7.5g,开窍化痰，熄风止痉。,止痉(小儿惊风),小儿急慢惊风，涎潮发搐，目睛上视，口眼相引，牙关紧急，脊背强直，精神昏塞，连日不省。,上为末，炼蜜为丸，如大鸡头子大。,每次1丸，荆芥、薄荷汤化服，不拘时候。,去芦,y,10.0,,,
唐,汤,内,1880.0,小风引汤,《备急千金要方》卷七,独活  茯苓  人参各9g  防风  当归  甘草  干姜  石斛各6g  附子9g  大豆30g,6g,祛风散寒，益气扶正。,中风　虚,中风，腰脚疼痛弱者。,上哎咀。以水1．8L，加酒600ml，煮取800m1，去滓。,分四次温服,,y,10.0,,方中附子、干姜、甘草、人参，即四逆加人参汤，功能温里祛寒，益气助阳；独活、防风以祛下部之风寒；茯苓、大豆渗湿健脾；当归、石斛养血益阴，且以制附、姜之温燥。全方祛邪与扶正两者兼顾，故对正虚而风邪入中者，切合病情。,
宋,丸,内,2124.0,天麻丸,《太平圣惠方》卷八十五,天麻30g  干蝎30g(生)  白僵蚕30g(生用)  防风30g  甘草7.5g(炙微赤，锉)白附子30g(生用)  朱砂7.5g(细研)  雄黄7.5g　牛黄7.5g  麝香7.5g,30g,祛风化痰，开窍定惊。,止痉(小儿惊风),小儿慢惊风热，筋脉抽掣，神志昏闷，风涎不利。,上为细末，研入朱砂等四味，和匀，炼蜜为丸，如绿豆大。,每次3丸，以薄荷汤化破服之，不拘时候。,,y,10.0,,,
