朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
元•朱丹溪,汤,内,9838.0,羌活汤,《脉因证治》卷上,羌活  独活  柴胡  防风  肉桂  当归,wbz,祛除风湿，温经止痛。,胜湿止痛,腰痛。,水煎，去滓。,分二次温服。,,n,6.0,,,
宋,丸,内,10321.0,附子丸,《太平圣惠方》卷四十四,附子30g(炮裂，去皮、脐)  川乌头30g(炮裂，去皮、脐)  天雄30g(炮裂，去皮、脐)　桂心45g  干姜45g(炮裂，锉)  防风45g  槟榔75g,45g,温肾散寒，祛湿止痛。,胜湿止痛,肾阳不足，风寒湿邪外侵，腰部久痛，不可转侧。,上为末，炼蜜为丸，如梧桐子大。,每次20丸，食前以温酒送下。,,y,7.0,,,
现代,散,外,10525.0,驱风散,《外伤科学》,苍耳子30g  樟木子30g  樟木皮30g  防风30g  薄荷30g  黄柏120g  苍术90g,30g,祛风除湿，行气止痛。,胜湿止痛,跌打损伤，风湿旧患。,上为细末。,水酒调敷患处。,,y,7.0,,,
明,汤,内,641.0,八仙散,《杏苑生春》卷七,羌活  独活  防风  当归  牛膝  黄柏  肉桂  白芍药各等分,等分,祛风散寒，活血通络。,胜湿止痛,腰腿疼痛。,上哎咀，用生绢袋盛，浸无灰酒中。,随量饮，不拘时服。,,n,8.0,,,
明,丸,内,694.0,八神丹,《证治准绳·类方》卷四,地龙(去土，炒)  五灵脂(炒)  威灵仙  防风(去芦)  马钱子(去壳)  草乌头各30g(炒)  白胶香(另研)  乳香(另研)各9g,30g,祛风除湿，通络止痛。,胜湿止痛,风湿走注疼痛，四肢麻木。,上为细末，酒煮面糊为丸，如梧桐子大。,每次5～10丸，温酒送服，不拘时候。,去芦,y,8.0,,,
宋,煮散,内,769.0,人参汤,《圣济总录》卷十,人参30g  白术120g  桂(去粗皮)　防己  甘草(炙，锉)各90g  乌头(炮裂，去皮、脐)7枚  防风(去叉)22．5g  赤茯苓(去黑皮)60g,22.5g,祛风胜湿，温经通络。,胜湿止痛,历节风疼痛，日夜发歇不可忍。,上药锉。每次15g，用水220ml，加生姜3片，同煎至150ml，入醋少许，更煎三、四沸，去滓。,温服，日二次，夜一次。,去叉,y,8.0,,,
现代,汤,内,1769.0,川羌活汤,《中国中医秘方大全》卷中引陆银华方,川羌活12g  左秦艽9g  海风藤12g  宣木瓜12g  五加皮12g  川续断12g  软防风12g　北细辛2g    ,12g,舒筋通络,胜湿止痛,腰部劳损，落枕，四肢伤筋，辗伤，扭伤，内伤，一切陈伤复感寒湿者。,水煎，去滓。,温服，每日1剂。,,y,8.0,,,
金,丸,内,3439.0,牛膝丸,《素问病机气宜保命集》卷下,牛膝(jiu浸)  革薜  杜仲(炒，去丝)  苁蓉(jiu浸)  防风  菟丝子(jiu浸)  白蒺藜各等分  桂枝减半,等分,补肝肾，祛风湿。,胜湿止痛,肝肾亏损，风湿外侵，致患骨痿，不能起床，筋缓不能收持。,上为细末，酒煮猪腰子为丸，如梧桐子大。,每次50～70丸，空心用酒送服。,,n,8.0,,,
宋,散,内,3717.0,乌头散,《圣济总录》卷十,乌头(炮裂，去皮、脐)  地龙(炒)　羌活(去芦头)  虎骨(酒炙)  延胡索  当归(切，焙)  没药(研)  防风(去叉)各30g,30g,祛风通络，活血止痛。,胜湿止痛,白虎风，走注疼痛。,上为散。,每次6g，空心、食前冷酒调服，一日二次。,去叉,y,8.0,,,
唐,汤,内,8078.0,防风汤,《外台秘要》卷十四引《古今录验》,防风  桂心  知母各12g  白术  生姜各15g  芍药  甘草各9g(炙)  附子6g(炮),15g,祛风除湿，和营止痛。,胜湿止痛,历节风，身体四肢节疼痛如坠脱，肿按之皮急，头眩短气，温温闷乱如欲吐。,上切。以水1L，煮取600ml，去滓,温服，一日三次。,,y,8.0,,,
明•孙一奎撰（1584）,煮散,内,8094.0,防风饮子,《赤水玄珠》卷十二,黄芪  附子  甘草  苍术  陈皮  羌活  防风  桔梗各等分,等分,益气助阳，祛风除湿。,胜湿止痛,素体阳虚气弱，风寒湿邪外侵，致成痹症，项筋急痛，诸药不效者。,上为粗末。每次15g，加生姜1片，水煎，去滓。,温服。,,n,8.0,,,
清,汤,内,8142.0,防桂术苓散,《辨证录》卷二,白术  茯苓  防风各15g  巴戟天9g  肉桂3g  桂枝2．4g  天花粉  黄芪各6g,15g,祛风散寒，健脾化湿。,胜湿止痛,风寒湿邪犯于三焦。痹证一身上下尽痛，有时而止，咳嗽，痰吐不畅，咽喉气闷，胸膈饱胀，二便艰涩。,水煎，去滓。,温服，一日二次。,,y,8.0,,,
明•万表(鹿园、民望)编,丸,内,8777.0,苍耳膏,《万氏家抄方》卷一,当归  川芎  芍药  熟地  防风各30g  白术60g  羌活15g  苍术2．5kg(米泔浸三日，去外粗皮，切片，同Cangervcao捣碎，用水煎取浓汁，去滓熬膏后入mi500g5再滚数沸，瓷器内收贮),30g,养血祛风，除湿蠲痹，舒筋活血。,胜湿止痛,素体血虚，感受风湿，筋脉痹阻，身痛游走不定，或麻木不仁者。,上药当归至羌活为末，用上膏为丸，如梧桐子大。,每次50丸，空心用温酒送服。,,y,8.0,,,
宋,煮散,内,2781.0,五加皮散,《太平圣惠方》卷七十五,五加皮60g  杜仲120g(去粗皮，炙微黄，锉)  萆薢60g(锉)  狗脊60g(去毛)  阿胶60g(捣碎，炒令黄焦)  防风60g(去芦头)  川芎90g  细辛30g  杏仁60g(汤浸，去皮、尖、双仁，麸炒微黄),60g,补肝肾，祛风湿。,胜湿止痛,妊娠肝肾不足，风湿外侵，致患腰痛，连月不已。,上为散。每次12g，以水250m1，加生姜3．75g，煎至150m1，去滓。, 温服，不拘时候。,,y,9.0,,,
宋,丸,内,3798.0,乌蛇丸,《太平圣惠方》卷十九,乌梢蛇90g(jiu浸，炙微黄，去皮、骨)　天南星30g(炮裂)  干蝎30g(微炒)  禹白附30g(炮裂)  羌活30g  白僵蚕30g(微炒)  麻黄60g　(去根、节)  防风22．5g(去芦头)  桂心30g,22.5g,祛风除湿，通经活络。,胜湿止痛,风痹，手足缓弱，不能伸举。,上为细末，炼蜜为丸，如梧桐子大。,每次10丸，以热豆淋酒送服，不拘时候。,,y,9.0,,,
宋,丸,内,5086.0,生干地黄丸,《太平圣惠方》卷八十九,生地黄15g  郁李仁15g(汤浸，去皮、尖，微炒)  牛膝  防风  桂心  海桐皮  羌活  白茯苓  薏苡仁各7．5g,7.5g,补益肝肾，祛风除湿。,胜湿止痛,小儿肝肾不足，风湿下浸，脚指拳缩。,上为末，炼蜜为丸，如绿豆大。, 每次7丸，乳食前以温酒送服。,,y,9.0,,,
明,汤,内,8084.0,防风汤,《症因脉治》卷三,防风  当归  赤茯苓  杏仁  秦艽　葛根  羌活  桂枝  甘草,wbz,祛风散寒，宣痹止痛。,胜湿止痛,风痹。风寒攻痛，上下左右行而不定。,水煎，去滓。,温服，一日二次。,,n,9.0,,,
清•汪绂辑于1758年,汤,内,8797.0,苍术胜湿汤,《医林纂要》卷六,苍术15g  羌活9g  防风9g  防己9g  木瓜9g  怀牛膝9g  肉桂3g  茯苓6g  甘草梢3g,9g,燥湿祛风，温阳通脉。,胜湿止痛,寒湿痹阻筋脉之腰腿疼痛，行动不利，皮肤肿硬。,用水300m1，煎至150m1，入酒适量，再煎数沸，去滓。,热服,,y,9.0,,,
清•俞根初,汤,内,9865.0,羌防行痹汤,重订通俗伤寒论》引顾松园方,羌活  防风各3g  秦艽  川断各6g 威灵仙  全当归各6g  明乳香  净没药  杜红花各1．5g,3g,祛风活血，通络止痛。,胜湿止痛,行痹，痛痹。,"用童桑枝、青松针各30g煎汤代水煎
药，去滓。",温服。,,y,9.0,,,
明•jin礼蒙,煮散,内,366.0,十味锉散,《医方类聚》卷二十引《叶氏录验方》,附子90g(炮，去皮、脐)  当归(去土，洗，切)  黄芪(炙)  白芍药各60g  川芎(不见火) 防风(去芦)  白术各45g  肉桂(去粗皮，不见火)30g  茯苓  熟地黄(洗净，用少许酒熬令干，焙)各23g,45g,补气养血，祛风除湿。,胜湿止痛,气血两虚，风湿外侵，臂痛连筋及骨，举动艰难；湿痹周身疼痛。,上叹咀。每次12g，用水300m1，加生姜8片，大枣3个(擘开)，煎至210ml去滓，,通口服，一日三次。温覆厚衣将养。,去芦,y,10.0,,,
清•吴谦,汤,外,708.0,八仙逍遥汤 ,《医宗金鉴》卷八十八,防风  荆芥  川芎  甘草各3g  当归(酒洗)  黄柏各6g  苍术  牡丹皮  花椒各9g 苦参15g,3g,祛风和血，清热燥湿。,胜湿止痛,跌仆损伤，肿硬疼痛；风寒湿痹，肢体酸痛。,上药共合一处，装白布袋内，扎口，水熬滚。,熏洗患处。,,y,10.0,,,
元,汤,内,1418.0,大羌活汤,《卫生宝鉴》卷二十三,羌活  升麻各3g  独活2.1g  苍术  防风(去芦)  威灵仙(去芦)  白术  当归  白茯苓(去皮)  泽泻各1.5g,1.5g,祛风除湿。,胜湿止痛,风湿相搏，肢节肿痛，不可屈伸。,上畋咀，作一服。用水300m1，煎至150m1，去滓。,分二次温服，食前一次，食后一次。,去芦,y,10.0,,,
元,散,内,2791.0,五灵脂散,《世医得效方》卷三,五灵脂  荆芥穗  防风  羌活  独活  甘草节  穿山甲  骨碎补  草乌各15g  麝香少许,15g,祛风除湿，行瘀止痛。,胜湿止痛,臂胛痛,上为末,每次10g，临睡用温酒调服。,,y,10.0,,,
明,煮散,内,3950.0,风湿汤,《医方类聚》卷九十八引《施园端效方》,附子(炮，去皮)  白术  甘草  当归(焙)  防风  桂枝  薏仁各30g  乳香  没药 茯苓各15g,30g,祛风散寒，除湿通络。,胜湿止痛,风寒湿痹，脚膝筋挛，着床不能行步。,上为细末。每次9g，用水220m1，煎至150ml，去滓。,食前温服，日三次，夜一次。,,y,10.0,,,
清,汤,内,6010.0,闪痛煎,《仙拈集》卷二,枳壳  桔梗各2．4g  防风  乌药　当归  杏仁  半夏  木通各3g  甘草  红花各1．5g,3g,行气活血，通络止痛。,胜湿止痛,闪挫腰痛,水煎，去滓。,温服。,,y,10.0,,,
现代,汤,内,6088.0,加味四物汤,《杂病证治新义》,羌活  防风  熟地  当归  芍药  川芎  桃仁  牛膝  黄芩  黄柏,wbz,除风胜湿，活血消肿。,胜湿止痛,瘦人历节，红肿疼痛。,水煎，去滓。,温服,,n,10.0,,,
宋,煮散,内,8080.0,防风汤,《圣济总录》卷十九又名防风散(《杏苑生春》卷五,防风(去叉)  甘草(炙，锉)各30g　黄芩(去黑心)22．5g  当归(切，焙)  赤茯苓各30g  秦艽  葛根(锉)各22．5g  桂  杏仁(jiu浸，去皮、尖、双仁，炒)各30g  麻黄(去根、节，煎掠去沫，焙)15g,30g,祛风散寒，和营除湿。,胜湿止痛,行痹，行走无定。,上为粗末。每次15g，以酒150ml、水150ml，加大枣3枚(擘破)、生姜5片，同煎至150ml，去滓。,温服，一日三次。,去叉,y,10.0,,,
宋,散,内,9729.0,没药散,《太平圣惠方》卷二十二,没药30g  独活30g  虎胫骨60g(涂酥，炙令黄)  晚蚕沙45g(微炒)  川芎45g  防风30g  蔓荆子30g  当归30g  赤芍药30g  桂心30g,30g,祛风行血，通络止痛。,胜湿止痛,白虎风，注流筋骨疼痛。,上为细散。,每次6g，以热酒调服，不拘时候。,,y,10.0,,,
宋,丸,内,5085.0,生干地黄丸,《太平圣惠方》卷八十九,生地黄  当归(锉，微炒)  防风　酸枣仁(微炒)  赤茯苓  黄芪(锉)  川芎  羚羊角屑  羌活  炙甘草(锉)  桂心各15g,15g,补肝肾，益气血，祛风湿，通经络。,胜湿止痛,小儿十岁，肝肾不足，气血两虚，筋脉失养，风湿下侵，筋脉缓弱，腰膝无力，不能行步。,上为末，炼蜜为丸，如绿豆大。,每次5丸，食前温酒送服。,,y,11.0,,,
宋,煮散,内,6667.0,芍药汤 ,《圣济总录》卷十九,芍药  熟地黄(焙)  当归(切，焙)各60g  防风  秦艽  羌活  防己  川芎  白术各30g  桂  甘草(炙)各22.5g,30g ,祛风除湿，活血通脉。,胜湿止痛,脉痹。营卫不通，四肢疼痹。,上为粗末。每次15g，以水150m1，煎至120ml，去滓。,温服，一日二次。,,y,11.0,,,
宋,散,内,7351.0,肉桂散 ,《太平圣惠方》卷二十三,肉桂60g  麻黄30g(去根、节)  海桐皮30g(锉)  川乌头30g<炮裂，去皮、脐)  黑豆60g(炒熟)  五加皮30g  防风30g  牛膝30g  附子60g(炮裂，去皮、脐)  松节30g(锉)  道人头30g,30g,温经散寒，祛风止痛。,胜湿止痛,历节风。四肢疼痛，筋脉不利。,上为细散。,每次6g，食前以温酒送服。,,y,11.0,,,
金,散,内,8109.0,防风天麻散 ,《宣明论方》卷三,防风  川芎  天麻  羌活  香白芷 草乌头  白附子  荆芥穗  当归(焙)  甘草各15g 滑石60g,15g,祛风除湿，活血通络。,胜湿止痛,风湿麻痹走注，肢节疼痛，中风偏枯，或暴喑不语。,上为细末；或炼蜜为丸，如弹子大。,每次1．5g，加至3g，热酒化蜜少许调服。觉药力运行，微麻为度。丸剂每次1丸或半丸，热酒化服。,,y,11.0,,,
宋,丸,内,11127.0,乳香宣经丸,《太平惠民和剂局方》卷一吴直阁增诸家名方,川楝子(锉，炒)  牵牛子(炒)  乌药(去木)  茴香(淘去沙土，炒)  陈皮(去白)  萆薢(微炙)  防风各60g  乳香(研)  草乌(乌豆30g同煮，竹刀切透黑，去尖，焙)  五灵脂(jiu浸，淘去沙石，晒干，研)各15g  威灵仙(去芦，洗)60g,60g,活血止痛，补虚壮筋。,胜湿止痛,体虚为风、湿、寒、暑侵袭，四气相搏，半身不遂，手足顽麻，骨节烦疼，足胫浮肿，恶寒发热，渐成脚气；肝肾不是，四肢挛急，遍身攻注；或闪肭打扑，内伤筋骨；男子疝气，妇人经脉不调。,上为细末，酒糊为丸，如梧桐子大。,每次50丸，盐汤、盐酒任服；妇人醋汤送服。,,y,11.0,,,
金,汤,内,1780.0,川芎肉桂汤,《兰室秘藏》卷中又名川羌肉桂汤(原书目录,酒汉防己  防风各0．9g(炒)  神曲  独活各1．5g  川芎  柴胡  肉桂  当归梢  甘草  苍术各3g  羌活4．5g  桃仁5个(去皮、尖，研如泥),0.9g,温经散寒，祛风除湿，活血止痛。,胜湿止痛,露宿寒湿之地，腰痛不能转侧，两胁搐急作痛。,上哎咀，都作一般。好酒450m1，煎至150m1，去滓。,稍热，食远服,,y,12.0,,,
明•陈文治撰,膏,外,3958.0,风湿气膏,《疡科选粹》卷八,川乌  草乌各30g  当归60g  红花  官桂  白芷  桃仁  防风  赤芍药  补骨脂  穿山甲  羌活各30g,30g,祛风燥湿，活血止痛。,胜湿止痛,风湿气痛，兼治跌打损伤。,上锉，用麻油1kg，入前药煎枯，以布绞去渣，取油，另煎至滴水成珠为度，听用；又用松香5k8煎销，以夏布滤下，流于水内，去水，取出松香，又将葱、姜汁各250m1，烧酒500g，入松香内和匀，略煎过，方入前油，慢火熬成膏，住火，加乳香、没药各30g，阿魏30g，麝香3g和匀，摊布上。,贴患处,,y,12.0,,,
宋,丸,内,8517.0,杜仲丸,《杨氏家藏方》卷十六,五加皮  萆薢  山茱萸各90g  杜仲120g(炒去丝)  阿胶(蛤粉炒成珠子)  金毛狗脊(炙去毛)  防风  川芎  细辛  鹿角屑各60g  当归(洗，焙)  生地黄各30g,60g,补精血，祛风湿，强筋骨。,胜湿止痛,妊娠冲任脉虚，血海虚弱，寒湿邪气客搏胞络，致患腰痛，小腹牵连，行步力弱，难于俯仰，小便白浊，昼夜频行。,上为细末，蜜糊为丸，如梧桐子大。,每次30丸，空心、食前用盐酒或煎艾汤送服。,,y,12.0,,,
清,汤,内,8905.0,苡仁散,《杂病源流犀烛》卷十三)又名苡仁汤(《类证治裁》卷五,苡仁  川芎  当归  干姜  肉桂  川乌  羌活  独活  麻黄  防风  白术  甘草,wbz,祛风除湿，温经通络。,胜湿止痛,寒湿痹痛,水煎，去滓,温服,,n,12.0,,,
宋,煮散,内,9844.0,羌活散,《太平圣惠方》卷十九,羌活30g  汉防己30g  荆芥30g　薏苡仁60g  防风30g  麻黄45g(去根、节)  酸枣仁30g  黄松节30g  附子45g(炮裂，去皮、脐)　川芎30g  天麻45g  道人头30g,30g,祛风除湿，活血通痹。,胜湿止痛,风痹，手脚不仁。,上为细散,每次6g，温酒调服，不拘时候。,,y,12.0,,,
宋,煮散,内,1412.0,大防风汤,《百一选方》卷三,防风(去芦)  白术  杜仲(去粗皮，炒令丝断)  川当归(洗)  熟地黄(洗)  白芍药 黄芪(微炒)各二两  羌活(去芦)  牛膝(去芦)  甘草(炒)  人参(去芦)各30g  附子(炮，去皮、脐) 川芎各45g(抚芎不可用),二两,补气养血，祛风除湿。,胜湿止痛,痢风，患痢后脚痛痪弱，不能行履；鹤膝风，两膝肿痛，髀胫枯腊，但存皮骨，拘挛蜷卧，不能屈伸。,上为粗末。每次15g，水220m1，加生姜7片，大枣1枚，同煎至180m1，去滓。,食前温服。,去芦,y,13.0,,,
清,汤,内,4158.0,巴戟天汤,《张氏医通》卷十四,巴戟天6g(去心)  附子(炮)  五加皮(酒洗)  石斛  甘草(炙)  茯苓  当归各3g 牛膝(jiu炒)  川萆薢(盐、jiu炒)各45g  肉桂  防风  防己(酒洗)各1.5g  生姜3片,1.5g,温阳散寒，祛风通络。,胜湿止痛,冷痹，脚膝疼痛，行步艰难。,水煎，去滓。,空心温服。,,y,13.0,,,
明,酒,内,4919.0,仙传史国公浸酒,《古今医统》卷十,当归  虎胫骨(酥油炙)  川羌活  川萆薢  防风各60g  秦艽120g  鳖甲30g(醋炙)　川牛膝(jiu浸)  松节  晚蚕沙(炒)各60g  枸杞子150g  干茄根240g(饭上蒸熟)  苍耳子120g<炒，槌碎),60g,祛风除湿，活血通络。,胜湿止痛,风寒湿痹，左瘫右痪，口眼喁斜，四肢疼痛。,上药用无灰酒1大坛，将绢袋盛药，悬于酒内密封固，候十四日后开坛取酒。将药滓晒为末，米糊为丸，如梧桐子大。取时不可面对坛口，恐药气冲人面目。,药酒每饮适量。毋令药力断绝，饮尽病痊。丸药每次80丸，空心用温酒送服。,,y,13.0,,,
宋,煮散,内,5506.0,白头翁煎,《太平圣惠方》卷二十二,白头翁60g  牛膝22．5g  附子22．5g(炮裂，去皮、脐)  桂心22．5g  羌活22．5g　赤芍药22．5g  赤茯苓15g  人参15g(去芦头)　防风22．5g  虎胫骨30g(涂酥，炙微黄)  牡丹皮15g  当归15g  酥生姜汁,22.5g,祛风除湿、活血止痛。,胜湿止痛,风湿外侵，致患白虎风，四肢疼痛，至夜转甚，不可忍者。,上为细散。用好酒3．32L，浓煎如饧。,每次10g，以温酒调服，不拘时候。服药后仍须炒蚕砂熨之为妙。,,y,13.0,,,
宋,散,内,10384.0,附子散,《圣济总录》卷二十,附子(炮裂，去皮、脐)  狗脊(去毛)各7．5g  山药  熟地黄(焙)  王孙(生用)  肉桂　天雄(炮裂，去皮、脐)  山茱萸  秦艽  干漆(jiu炒，令烟出)  防风  甘草(炙)各15g  白蔹30g,15g,温阳补肾，祛风除湿，化瘀通络。,胜湿止痛,肾阳不足，风寒湿邪外侵，血瘀经络，致患周痹，周身疼痛，肢体脚膝无力。,上为散,每次3g，渐加至4．5g，空心用温酒调服，日二次，夜一次。服之一月愈。,,y,13.0,,,
宋,煮散,内,1767.0,川乌头散,《太平圣惠方》卷六十九,川乌头15g(炮裂，去皮、脐)  甘草15g(炙微赤，锉)  细辛15g  花椒15g(去目及闭口者，微炒去汗)  干姜30g(炮裂，锉)  赤茯苓60g　防风60g  当归30g(锉，微炒)  秦艽45g  附子45g(炮裂，去皮、脐)  桂心45g  赤芍药45g  独活60g  牛膝45g,60g,祛风除湿，散寒止痛。,胜湿止痛,妇人风痹疼痛，四肢不随。,上为散,每次9g，用水300ml，加大枣3枚，煎至180ml，去滓温服，不拘时候。,,y,14.0,,,
宋,散,内,2780.0,五加皮散,《太平圣惠方》卷六十九,五加皮30g  萆薢30g  海桐皮30g  虎胫骨45g(涂酥，炙令黄)  牛膝30g(去苗)　防风30g(去芦头)  薏苡仁30g  牛蒡子30g  淫羊藿30g  当归30g(锉，微炒)  续断30g  附子30g(炮裂，去皮、脐)  杜仲30g(去粗皮，微炙，锉)  熟地黄30g,30g,补肝肾，壮筋骨，祛风湿。,胜湿止痛,妇人风痹，手足不随，行立无力。,上为细散。,每次6g，食前以温酒调服。,去芦头,y,14.0,,,
元,丸,内,3441.0,牛膝丸,《御药院方》卷六又名接骨丹(《普济方》卷九十八),苁蓉(jiu浸)  牛膝(jiu浸)  防风(去芦头)  革薜(切碎，炒)  海桐皮(去粗皮) 自然铜(醋淬七次)  威灵仙(去土)  金毛狗脊(去毛)  川乌头各30g(生，去皮、脐)  没药15g(另研)  乳香15g(另研)  地龙(去土)30g  骨碎补(去毛)120g  马钱子(去壳，另研)120g,30g,温补肝肾，祛风除湿。,胜湿止痛,肝肾不足，风湿下注，脚膝无力，筋骨酸痛；或风湿上攻，头面肿痛，遍身疼倦，壮热。,上为细末，酒糊为丸，如梧桐子大。,每次50丸，食前用温酒送下。,去芦头,y,14.0,,,
明,汤,内,9876.0,羌活续断汤,《古今医统》卷十二,羌活  川续断  牛膝(酒洗)  防风　当归(酒洗)  川芎各3g  薄桂0．9g  秦艽  川乌各1．5g  苍术(米泔浸，炒)  麻黄  甘草节  枳壳(麸炒)  穿山甲各2．1g,3g,祛风除湿，温经止痛。,胜湿止痛,白虎历节风，手足肢节肿痛如锥。,用水300m1，加生姜3片，葱l根，煎至150ml，去滓。,温服，不拘时候。取汗。,,y,14.0,,,
明•虞抟,汤,内,196.0,二防饮,《医学正传》卷三,人参  白术  黄芪各3g  甘草(炙)1．5g  当归  川芎  芍药  熟地黄各3g  防风　防己  羌活  牛膝各2．1g  杜仲(jiang汁拌炒)  萆薢各3g  附子(童便浸三日，去皮、脐)2．1g,2.1g,祛风湿，益肝肾，补气血。,胜湿止痛,鹤膝风。感冒风寒湿邪，两足痛痹，如刀割虎咬，膝膑肿大，不能行动。,上药切细。加生姜3片，大枣2个，用水300ml，煎至150ml，去滓。,空心温服,,y,15.0,,,
宋,丸,内,1199.0,干地黄丸,《圣济总录》卷八,熟地黄(切，焙)  大麻仁(炒，研)各45g  萆薢(炒)  五加皮(锉)  石斛(去根)  赤芍药  防风(去叉)各30g  牛膝(jiu浸，切，焙)  桂(去粗皮)  酸枣仁(炒)  羌活(去芦头)  木香各22．5g  附子(炮裂，去皮脐)l枚  牡丹皮15g  槟榔2枚(锉),30g,补肾助阳，活血祛风。,胜湿止痛,肾阳不足，风邪外侵，致患中风，腰脚不随，膝胫沉重，饮食减少，日渐无力。,上为末，炼蜜为丸，如梧桐子大。,每次15～20丸，空腹用温酒送服，一日二次。,去叉,y,15.0,,,
宋,丸,内,5527.0,白花蛇散,《太平圣惠方》卷十九,白花蛇60g(汤或jiu浸，炙微黄，去皮、骨)  白附子30g(炮裂)  磁石30g(烧，酒淬七遍，细研)  天麻15g  狗脊15g  附子15g(炮裂，去皮，脐)  萆薢15g(锉)，白僵蚕15g(微炒)  细辛15g  防风15g  白术15g  川芎15g  白鲜皮15g  羌活15g  蔓荆子15g,15g,祛风胜湿，宣痹止痛。,胜湿止痛,风痹。关节不利，手足顽麻。,上为细散，入磁石同研令匀。,每次3g，以温酒调服，不拘时候。,,y,15.0,,,
