朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
元•齐德之撰,煮散,内,640.0,八仙散,《外科精义》卷下引《卫生方》,细辛  荆芥  白芷  川芎  黄芩  防风  甘草  地骨皮各等分,等分,祛风除湿，清热和血。,止痒,游风肿痒，疥疮，癣疮，或因洗头，游风瘙痒生疮。,上为粗末。每用药60g，用水500m1，煎10沸，去滓。, 乘热淋溻患处。,,n,8.0,,,
现代,散,外,966.0,九圣散,《北京市中药成方选集》)又名异功散(原书),薄荷500g  苏叶250g  黄柏360g　苍术500g  防风500g  杏仁炭250g  甘草250g　青黛130g,500g ,清热渗湿，解毒止痛。,止痒,各种湿疮、黄水疮，溃烂流脓水，疼痒不止。,上药共研为细粉，兑红粉150g，轻粉75g，研细，混匀。,用花椒油调敷患处。,,y,8.0,,,
宋,丸,内,1328.0,大黄丸,《圣济总录》卷一三六,大黄(锉，炒)75g  防风(去叉)  黄芪(锉)  黄连(去须)各45g  漏芦(去芦头)30g  秦艽(去苗土)  苦参  乌梢蛇(jiu浸，炙黄，去皮、骨)各60g,45g,疏风泻火，祛湿止痒。,止痒,疥疮痒痛不止。,上为末，炼蜜为丸，如梧桐子大。,每次20丸，空心用温酒送服，日晚再服。,去叉,y,8.0,,,
宋,散,内,2144.0,天麻散 ,《太平圣惠方》卷二十四,天麻15g  防风15g  枳壳22．5g(麸炒微黄，去瓤)  茺蔚子22．5g  白僵蚕15g(微炒)  白蒺藜30g(微炒，去刺)  凌霄花15g(微炒)  踯躅花15g(微炒),15g,祛风止痒。,止痒,风瘙痒。身体无处不痒，或生疮肿。,上为细散。,每次9g，食前用荆芥汤调服。,,y,8.0,,,
宋,散,内,8925.0,赤龙散,《杨氏家藏方》卷二,赤土75g  防风  赤芍药  地骨皮　何首乌  当归(洗，焙)  山栀子仁各60g  甘草30g(炙),60g,凉血消风。,透疹,鼻生渣疱。,上为细末。,每次6g，食后温酒调下，茶清亦得。,,y,8.0,,,
明,散,外,9389.0,围毒散 ,《简明医彀》卷八,川乌  草乌  苍术  细辛  白芷  薄荷  防风  甘草各等分,等分,散寒祛湿，消肿止痛。,透疹,疔痈诸毒。,上为末。用鸡子清调匀，敷患处，留头。,,,n,8.0,,,
明•周之干著述,丸,内,10715.0,苦参丸,《慎斋遗书》卷七,苦参500g  防风  荆芥  苍耳子　胡麻各250g  川乌  白芷各45g  黑蛇1条,250g,清热燥湿，祛风攻毒。,透疹,疠风，皮肉溃肿，及赤白癜风。,上为末，酒糊为丸。,每次10g，用茶或酒送服。,,y,8.0,,,
现代,汤,内,11240.0,金银花汤,《中医皮肤学简编》,银花62g  菊花62g  黄连9g  土茯苓31g  玉米仁15g  防风15g  蝉蜕9g  甘草9g,15g,清热燥湿，祛风止痒。,止痒,急性湿疹。,水煎，去滓。,温服。,,y,8.0,,,[加减]  上部，加川芎；中部，加桔梗；下部，加牛膝；两上肢，加桂枝；阴囊湿疹久不愈者，加附子、麻黄、细辛、山药；凡流水不止，奇痒甚者，加全蝎、蜈蚣、白鲜皮。
宋,丸,内,1452.0,大麻仁丸,《太平圣惠方》卷六,大麻仁60g(锉，研如膏)  防风30g(去芦头)  枳壳30g(麸炒微黄，去瓤)  旋覆花30g  川大黄90g(锉碎，微炒)  木香30g  槟榔30g川升麻30g  杏仁30g(汤浸，去皮、尖、双仁，麸炒微黄),30g,疏风活血，泻火通便。,透疹　散结,肺脏风毒，皮肤结硬，及遍身瘙痒生疮，大肠不利。,上为末。以不蛀皂荚20挺，捶碎，用水4L，揉取汁，慢火熬成膏，入前药末为丸，如梧桐子大。,每次30丸，以温水送服，不拘时候。,,y,9.0,,,
唐,散,内,3090.0,内补散,《备急千金要方》卷二十二)  又名排脓散(《外台秘要》卷二十四引《广济方》),当归  桂心各60g  人参  川芎　厚朴  防风  甘草  白芷  桔梗各30g,30g,益气养血，排脓生肉。,透疹,痈疽发背已溃。,上为细散。,每次3g，以酒调服，日三夜二。未愈，更服勿绝。,,y,9.0,,,
清,汤,内,3227.0,化岩汤,《医林纂要》卷十,黄芪30g  当归15g  白术9g  人参3g  茯苓1．5g  防风1．5g  白芥子2．4g  红花0．9g  金银花15g,1.5g,补气养血，化痰解毒。,透疹　散结,乳岩。即乳痈病久失治，或更伤于酒色热物，致溃烂如蜂窠状者。,水煎，去滓。,分二次温服。,,y,9.0,,,
宋,汤,外,5596.0,白蒺藜汤,《太平圣惠方》卷六十九,白蒺藜  防风  道人头  蛇床子  卷柏  黄芪  漏芦各45g  羊蹄根60g  蒴藿根90g,45g,祛风除湿，清热解毒。,止痒,妇人外感风湿热毒，侵入血分，皮肤瘙痒，不可禁止。,上锉细，以水7L，煎至3．5L，去滓。,看冷暖，于避风处洗之。,,y,9.0,,,
明,煮散,内,5662.0,白芷立效散,《普济方》卷三八一引《傅氏活婴方》,白芷  防风  白蒺藜(炒)  川当归　川芎  地龙(酒洗，炒)  黄连  龙胆草  甘草,wbz,清热化湿，祛风活血。,止痒,疳疮湿痒。,上叹咀。每次6g，水煎，去滓。,温服。,,n,9.0,,,
现代,汤,内,6223.0,加减全虫汤,《外伤科学》,淡全蝎6g  皂角刺12g  苦参9g　白鲜皮15g　刺蒺藜15g  枳壳9g  威灵仙15g　防风4．5g  黄柏9g,4.5g,祛风除湿。,止痒,顽固性湿疹，神经性皮炎，银屑病。,水煎，去滓。,温服。,,y,9.0,,,
现代,汤,外,6616.0,地肤子洗剂,《中医皮肤病学简编》,"地肤子l0g  防风l0g  独活l0g　荆芥l0g  白芷l0g  赤芍l0g  花椒l0g  桑白皮
l0g  苦参l0g",l0g,祛风除湿。,止痒,皮肤瘙痒症，荨麻疹。,上药用水1．5L煎沸，去滓。,洗浴。,,y,9.0,,,
宋•洪遵辑,膏,外,6874.0,夺命膏,《洪氏集验方》卷二,麻油120g(熬一二沸)  石蟹1枚(烧米醋淬，才黑又烧，碎为末)  防风30g(切，焙)  蛤蚧1对(煅存性)  灯心灰7．5g  蜈蚣1条(烧成性)  全蝎7个(烧存性)  血竭7．5g(别研)  黄连15g(去芦，切，焙)  当归15s(切，焙),30g,泻火解毒，消肿止痛。,透疹　散结,肿毒发背，一切痈疽。,上为末，用文武火熬麻油，滴水中不散，次入众药一处，急用柳枝不住手搅，候滴入水中成珠为度，候极冷，摊于纸或布上。,贴患处。,,y,9.0,,,
清,膏,外,7147.0,当归膏,《医学心悟》卷六,当归  生地各30g  紫草  麻黄  马钱子(去壳)  大风子(去壳)  防风  黄柏  玄参各15g  麻油240g  黄蜡60g,15g,滋阴润燥，祛风杀虫。,透疹　散结,疠风及赤游丹、鹅掌诸风。,先将前九味入油熬枯，滤去滓，再将油复入锅内，熬至滴水成珠，再下黄蜡，试水中不散为度。候稍冷，倾入盖碗内，坐水中，出火毒三日，听用。,搽患处。,,y,9.0,,,
元　,丸,内,9504.0,何首乌丸,《世医得效方》卷十,何首乌45g  防风  黑豆(去皮)  荆芥穗  地骨皮(洗净)各30g  桑白皮  天仙藤  苦参  赤土各15g,30g,养血清热，宣肺祛风。,透疹,肺风，面赤鼻赤。,上为末，炼蜜为丸，如梧桐子大。,每次30～40丸，食后用茶清送服。,,y,9.0,,,
宋,散,内,9508.0,何首乌散,《太平圣惠方》卷六十九,何首乌15g  防风15g  白蒺藜15g(微炒，去刺)  枳壳15g(麸炒微黄，去瓤)  天麻15g  胡麻15g  白僵蚕15g(微炒)  茺蔚子15g　蔓荆子15g,15g,养血活血，祛风除湿。,止痒,妇人血风，皮肤瘙痒，心神烦闷，及血游风不定。,上为细末。,每次3g，煎茵陈汤调服，不拘时候。,,y,9.0,,,
宋,丸,内,9572.0,皂荚煎丸,《太平圣惠方》卷二十二,皂荚500g(不蛀者，捶碎，以淡浆水1L挼，滤取汁，慢火熬成膏)  乌梢蛇肉90g(jiu浸，炙微黄)  枳壳30g(麸炒微黄，去瓤)  川大黄30g(锉碎，微炒)  防风30g  苦参30g  牛蒡子30g(微炒)  天麻30g  荆芥30g,30g ,祛风泻火，燥湿止痒。,止痒,风热上壅头面，瘙痒如虫行，常咯粘痰，大便秘结者。,上为末，入皂荚煎和为丸，如梧桐子大。,每次30丸，以温浆水送服，不拘时候。,,y,9.0,,,
明•沈之问辑于1550年,汤,内,10871.0,虎跑泉,《解围元薮》卷四,虎杖草  豨莶草  苍耳草  防风  升麻  荆芥  金银花  紫苏  鹤虱草,wbz,祛风解毒。,透疹　散结,麻风，手指挛曲。,煎汤，去滓。,洗浴。,,n,9.0,,,
现,膏,外,11174.0,金枪膏,《中医伤科学讲义》,金银花250g  生大黄60g  紫地丁60g  紫草30g  全当归60g  土马钱子60g  川黄柏30g  生甘草30g  青防风60g,60g,清热解毒。,透疹　散结,创口感染。,用麻油2．5kg，先浸三天，文火煎熬，去滓滤清，然后将药再煎收老后，加入真川连30g，儿茶60g，龙骨60g，血竭60g，乳香各60g，炉甘石60g(水飞)，冰片15g，再加黄、白占各60g，溶入收膏。,清洁创口后敷用。,,y,9.0,,,
清•郑元良,汤,内,379.0,十补托里散,《郑氏家传女科万金方》卷三,人参  黄芪  当归  川芎  厚朴  桔梗  防风  甘草  白芷  肉桂,wbz,补虚托里。,透疹,孕妇腹近下处肿胀，浮薄而光，此为腹内生痈，名曰孕痈。, 酒煎，去滓。,温服。,,n,10.0,,,
清•王维德撰于乾隆五年(1740),汤,内,1707.0,千金内托汤,《外科全生集》卷四,党参  黄芪  防风  官桂  川朴  白芷  川芎  桔梗  当归  生甘草,wbz,益气养血，托毒排脓。,透疹　散结,乳岩已溃；一切溃烂红痈。,水煎，去滓。,温服,,n,10.0,,,
宋,煮散,内,2149.0,天麻散,《仁斋直指》卷二十四,天麻  川芎  川升麻  半夏(制)各9g  防风  细辛  羌活  荆芥穗  蝉蜕(去嘴、足)  甘草(焙)各6g,6g,疏风散热。,透疹,风热瘾疹。,上细锉。每次6g，加生姜3片，井水煎，去滓。,温服。,,y,10.0,,,
宋,膏,外,2153.0,天麻膏,《太平圣惠方》卷六十三,天麻  当归  防风  乌头(去皮、脐，生用)  独活  细辛  乌梢蛇  半夏  全蝎  白僵蚕各30g,30g,祛风活血，通络止痛。,透疹　散结,一切风毒流注不定，愀赤疼痛。,上锉细，以腊月猪脂750g，煎沸厂药，文火熬令药末黑色，滤出，即下蜡120g，候熔，以绵滤过，安瓷盒内。,每次取少许，涂患处，摩令热，一日三、五次。兼于空心及晚食前以温酒调服半匙。,,y,10.0,,,
宋,膏,外,2480.0,木通膏,《太平圣惠方》卷六十三,木通7．5g  甘草7．5g  当归7．5g  白芷7．5g  防风7．5g(去芦头)  细辛7．5g　栀子仁7．5g  黄连7．5g  垂柳枝(生锉)80g  黄芩22．5g  ,7.5g,清热解毒，消肿止痛。,透疹　散结,发背痈疽，疼痛坚硬。  ,上细锉，于油内浸三宿，入净铛内，以慢火熬令柳枝黄黑色为度，绵滤去滓，澄清，倒入铛内，慢火熬药油，相次下黄丹，用柳木篦不住手搅令匀，滴于水内，捻看硬软适中，入黄蜡，又搅令匀即膏成，倒入干燥器皿内盛，摊于故帛上。,将膏烘软，贴患处。,,y,10.0,,,
宋,膏,外,3055.0,止痛排脓生肌神秘方,《太平圣惠方》卷六十三,生地黄汁300m1  防风22．5g(去芦头)  羊肾脂60g  麻油300ml  乳香30g  黄蜡60g  乱发15g  当归15g  甘草22．5g  白蔹15g,22.5g,止痛排脓，养血生肌。,透疹,一切痈疽发背，已溃后日夜疼痛不可忍，脓不能出。,上为细末，以醋拌湿：先以油煎乱发消尽，下地黄汁，煎如鱼眼沸，候地黄汁尽，绵滤去滓，却于火上下蜡、香、脂，熟搅匀，煎令稠，盛于瓷盒内。取适量，涂于故帛上。,贴患处，一日换二次。,去芦头,y,10.0,,,
清,汤,内,3129.0,内补十宣饮,《青囊全集》卷下,党参9g  桔梗3g  川芎4．5g  甘草节3g  白芷9g  川朴3g  黄芪4．5g  当归9g  桂枝3g  防风9g,9g,益气活血，消肿透脓。,透疹,冷疔。,水煎，去滓。,分二次温服。,,y,10.0,,,
宋,散,内,3326.0,化毒排脓内补十宣散,《太平惠民和剂局方》卷八(绍兴续添方)  又名内托散(《医说》卷六)  十宣散(《济生方》卷六),黄芪(寸截，捶破，丝擘，以盐汤润透，用盏盛，盖汤瓶上一炊久，焙燥，随众药入碾成细末)30g  人参(薄切，焙干，捣用)  当归(薄切，焙干)各60g  厚朴(切，jiang汁淹一宿，烂熟，焙燥)  桔梗(去头尾，薄切，焙燥)  桂心(别研，不见火)  川芎(切，焙)  防风(切，焙)  甘草(生用)  白芷各30g,30g,益气养血，祛风通络，排脓止痛，生肌长肉。,透疹,痈疽疮疖。,上药除桂心外，一处捣罗为细末，入桂令匀。,每次自9g加至18g，热酒调服，日夜各数服，以多为妙，服至疮口合。不饮酒人，浓煎木香汤送服，然不若酒力之胜也。未成者速散，已成者速溃，败脓自出，无用手挤，恶肉自去。大抵痈疽才觉便服，倍加数服，服之醉，则其效尤速。,切，焙,y,10.0,,,
明,丸,内,3628.0,升麻防风散,《证治准绳·类方》卷八),升麻  防风  人参各30g  蝎尾15g(炒)  雄黄6g  牛黄3g  甘草  朱砂各7．5g  麝香3g  僵蚕15g(炒),30g,祛风除湿，清热解毒。,透疹　散结,风湿热毒上壅，致患鼻赤。,上锉末，炼蜜为丸，如樱桃大，朱砂为衣。,每次1丸，薄荷汤送服。,,y,10.0,,,
清,汤,内,3854.0,乌药顺气散,《医宗金鉴》卷七十三),乌药  陈皮各6g  枳壳(麸炒)  白芷　桔梗  防风  僵蚕(炒)  独活  川芎各3g　甘草(生)1．5g,3g,疏风顺气，活血通络。,透疹,丹毒初起，火毒未发肌肤，外受寒郁，因生白癍，无热无痛，游走不定者。,用水400ml，加生姜3片，煎至320ml。,分二次温服。,,y,10.0,,,
宋,煮散,内,3899.0,丹参汤,《圣济总录》卷十一,丹参(锉)  紫参  蒺藜子(炒去角)  黄芩(去黑心)  防风(去叉)  黄芪(锉)  羌活(去芦头)各30g  白鲜皮  连翘各22．5g  甘草(炙)15g,30g,祛风清热，除湿止痒。,止痒,风热湿毒上攻，头面生痞?（病下三个田）痒痛。,上为粗末。每次9g，用水150m1，煎取105m1，去滓。,食后温服。,去叉,y,10.0,,,
明,汤,内,7082.0,当归饮,《校注妇人良方》卷二十四,当归  白芍药  川芎  生地黄  白蒺藜(炒)  黄芪各3g  防风  荆芥  何首乌(不见铁器)  甘草各1．5g,1.5g,养血祛风,止痒,妇人血风疮，血分有热，瘾疹痒痛，脓血淋漓，发热。,水煎，去滓。,温服,,y,10.0,,,
宋,煮散,内,7150.0,当归饮子,《济生方》卷六,当归  白芍药  川芎各30g  生地黄  白蒺藜(炒，去尖)  防风  荆芥穗各30g  何首乌  黄芪  炙甘草各15g,30g,益气养血，疏风散热,止痒,气虚血亏，风热外侵，皮肤遍身疥疮，或肿或痒，或脓水侵淫，或发赤？（病旁下面加咅）？（病旁加三个田）。,上哎咀。每次12g，用水225ml，加生姜5片，煎至180m1，去滓。,温服,,y,10.0,,,
清,汤,内,8128.0,防风胜湿汤,《治疹全书》卷中,防风  川芎  苏叶  前胡  泽泻  陈皮  厚朴  杏仁  腹皮  茯苓,wbz,祛风散寒，胜湿利水。,透疹,小儿疹出时入水洗浴，或饮水食瓜，脾伤于湿，不能运通水道，致令水邪留滞，疹毒内攻，疹出一时即没，食少腹胀，喘促目闭，四肢软弱，小水不利，其脐凸出寸许，按之虚软有声，举之随手而起。,上药加葱白2个，水煎，去滓。,温服,,n,10.0,,,
清,汤,内,8549.0,杨梅一剂散,《外科大成》卷四,麻黄30g  大黄21g  威灵仙24g　金银花  羌活  白芷  蝉蜕  皂角刺  川山甲各15g  防风9g,9g,祛风泻火，活血解毒。,透疹　散结,杨梅疮，元气壮者。,上为1剂。用山羊肉约500g，河水煮熟，取清汤500ml，黄酒250ml，将药煎至250ml。,每次1剂，空心时先将热羊肉同酒淡食之令饱，随后服药。,,y,10.0,,,
清,丸,内,8939.0,赤箭丸,《医略六书》卷二十八,赤箭60g  防风30g  当归60g  川芎30g  阿胶60g(粳米炒)  熟地120g  防己30g  米仁120g(炒)  丹参60g  秦艽45g,30g,养血祛风，除湿蠲痹。,止痒,妊娠血虚，风湿外侵，皮肤顽痹，不知痛痒，脉浮者。,上为散，炼蜜为丸，如梧桐子大。, 每次10～15g，黑豆淋酒送服,,y,10.0,,方中当归、川芎、丹参养血活血，阿胶、熟地滋阴补血，赤箭、防风、秦艽祛风除湿，防己、米仁清热渗湿。配合成方，共奏养血祛风，除湿蠲痹之功。营血内充，风祛湿除，经气清和，则顽痹自愈。,
宋,煮散,内,9228.0,连翘饮,《圣济总录》卷一三一,连翘  山栀子仁  黄芪(炒)  防风　升麻  羚羊角(镑)  漏芦(去芦头)  炙甘草  炒大黄  地骨皮各30g,30g,清热泻火，疏风通络。,透疹,痈疽发背，疮肿，或已溃，或未溃。,上为粗末，拌匀。每次15g，加水220ml，煎取170mI，去滓。,空腹时温服。,,y,10.0,,,
现代,汤,内,9377.0,岗稔根汤,《中医皮肤病学简编》,岗稔根30g  川萆薢30g  土茯苓30g  荆芥6g  防风6g  白芷4g  川芎6g  当归12g  生地15g  白鲜皮9g,6g,祛风除湿，活血止痒。,止痒,皮肤瘙痒症。,水煎，去滓。,温服,,y,10.0,,,
清,汤,内,9506.0,何首乌汤,《疡医大全》卷三十五,何首乌  防风  金银花  荆芥  苍术   白鲜皮  甘草  苦参  连翘  木通,wbz,清热利湿，祛风解毒。,透疹　散结,湿热风毒，遍身脓窠，黄水淋漓，肌肉破烂。,以灯心为引，水煎，去滓；或为细末，水泛为丸。,作汤剂者，分二次温服；为丸者，每次9g，用淡酒送服,,n,10.0,,,
元,散,内,9511.0,何首乌散,《医学纲目》卷十引朱丹溪方,何首乌(yan炒)  天麻  枸杞子  生地 熟地各30g  防风  川芎  薄荷  诃子  甘草各15g    ,15g,养血散风，祛湿止痒。,止痒,浑身风寒湿痒。,上为末, 每次6～9g，空腹时用温酒送服。,,y,10.0,,,
清·吴砚丞撰。刊于1853年,汤,内,9863.0,羌防内托散,《麻疹备要方论》,羌活  防风  葛根  桔梗  山楂肉  地骨皮  蝉蜕  僵蚕  连翘  甘草,wbz,疏风散寒，清热透疹。,透疹,风寒外闭，麻疹欲出不出，热重无汗者。,生姜、大枣为引，水煎，去滓。,温服,,n,10.0,,,
清.张贞庵 ,汤,内,11637.0,降痈活命饮,《外科医镜》,金银花30g  当归15g  生黄芪9g　生甘草6g  乳香3g(去油)  没药3g(去油)  白芷3g  防风2g  穿山甲3片(炒)  黄明胶15g,2g,清热解毒，消肿散结。,透疹　散结,痈毒。,酒、水各半煎，去滓,分二次温服,,y,10.0,,,
清•爱虚老人辑,丸,内,1308.0,大疯丸,《古方汇精》卷二,大风子(不可见火)  小胡麻  白蒺藜(去刺)各600g  苍术  荆芥各1808  牛膝  川断各120g  苦参360g  防风240g  蝉蜕(去头、足)150g  蛇蜕(白净者，去头、足)90g,240g,祛风杀虫。,透疹,麻风,上药各为末，用白凤仙花叶180g，煎汁为丸。,每早服9g，毛尖茶送服。,,y,11.0,,,
现代,汤,内,3037.0,止痒永安汤,《朱仁康临床经验集》,荆芥9g  防风9g  麻黄6g  桂枝9g  白芷6g  羌活9g  蝉蜕6g  当归9g  赤芍9g  桃仁9g  红花9g,9g,祛风散寒，活血和营。,透疹,冷激性荨麻疹。,水煎，去滓。,分二次温服,,y,11.0,,,
