朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
金,汤,内,3612.0,升阳除湿汤,《兰室秘藏》卷中又名调经升麻除湿汤(原书同卷)  调经升阳除湿汤(《普济方》卷三三O)升阳调经汤(《医学入门》卷四,当归(酒洗)  独活各1．5g  蔓荆子2．1g  防风  炙甘草  升麻  藁本各3g  柴胡羌活  苍术  黄芪各4．5g,3g,祛风除湿，升阳调经。,散肝舒脾,妇人饮食劳倦，气虚湿阻，清阳下陷，漏下恶血，或暴崩不止，多下水浆之物，怠惰嗜卧，四肢不收，困倦乏力，呼吸气短，脉缓而弦急，按之洪大，并治男子水疝、肾囊肿大、阴汗不绝。,上锉，如麻豆大，勿令作未，都作一服。用水900m1，煎至300m1，去滓。,空心热服，待少时以早饭压之。,,y,11.0,,,
金,其它,内,4487.0,甘露膏,《兰室秘藏》卷上又名兰香饮子(原书同卷,半夏0.6g(汤洗)  熟甘草  白豆蔻仁  兰香  升麻  连翘  桔梗各1．5g  生甘草　防风各3g  酒知母4．5g  石膏9g,3g,清胃泻火，滋阴生津。,散肝舒脾,消渴。饮水极甚，善食而瘦，自汗，大便结燥，小便频数。,上为极细末，汤浸蒸饼，和匀成剂，捻作薄片子，日中晒半干，擦碎如米大。,每次6g，食后用淡生姜汤送服。,,y,11.0,,,
明•武之望,汤,内,6033.0,加味八珍汤,《济阴纲目》卷十四,八珍汤24g  黄芪3g  防风  升麻各1.5g,1.5g,益气升阳。,散肝舒脾,产后子肠不收。, 上锉一剂。水煎，去滓。,温服。外以荆芥、藿香、樗皮煎汤熏洗。,,y,11.0,,,
明,汤,内,6933.0,百效汤,《赤水玄珠》卷三,升麻  葛根  白芷  jiu黄芩  桔梗各3g  防风  薄荷各1.5g  石膏9g  甘草1.8g  天花粉2.4g  细辛1.2g,1.5g,升阳疏风，清热消肿。,散肝舒脾,肠胃壅热及风热，牙龈肿痛，颊车皆肿。,加生姜3片，水煎，去滓。,食后少量频频服之。,,y,11.0,,,
宋,煮散,内,11009.0,钓藤散,《普济本事方》卷二,钓藤  陈皮(去白)  半夏(汤浸，洗七遍，薄切，焙干)  麦冬(略用水泡，去心)  茯苓  茯神(去木)  人参  甘菊花  防风各15g  炙甘草7．5g  生石膏30g,15g,清肝祛风。,散肝舒脾,肝厥头晕,上为粗末，每次12g，用水230m1，入生姜7片，煎至180m1，去滓。,温服,,y,11.0,,,
明,汤,内,11416.0,泻肝汤,《古今医鉴》卷十五,当归梢  赤芍药  生地黄  龙胆草(jiu浸，炒)  防风  黄连(炒)  黄柏  知母(jiu炒)  车前子(炒)  泽泻各3g  甘草梢1．5g,3g,泻肝利湿。,散肝舒脾,肝经湿热不利，阴囊肿痛，或脓溃皮脱，睾丸悬挂，及下疳疮。,水煎，去滓。,空心温服,,y,11.0,,,
明,汤,内,3573.0,升麻汤,《育婴秘诀》卷三,升麻3g  人参  白术  白茯苓  陈皮  当归  白芍  麻子仁各1．5g  甘草  防风各0．9g  荆芥穗0．6g  乌梅(去核)1个,0.9g,益气养血，升阳举陷,散肝舒脾,小儿久痢，气血俱虚，中气下陷，脱肛。,上哎咀，分二剂。水煎，去滓。,空腹服,,y,12.0,,,
清,汤,内,3623.0,升麻石膏汤,《杂病源流犀烛》卷二十二,升麻  石膏  防风  荆芥  归尾　赤芍  连翘  桔梗  甘草  薄荷  黄芩  灯心,wbz,清胃散火，消肿止痛。,散肝舒脾,阳明火郁，牙龈红肿，面颊俱肿，头面尽痛者。,水煎，去滓,分二次温服,,n,12.0,,,
宋,煮散,内,4276.0,平肝饮子,《医方大成》卷六引《济生方》,防风(去芦)  桂枝(不见火)  枳壳(去瓤，微炒)  赤芍药  桔梗(去芦，锉，炒)各30g 木香(不见火)  人参  槟榔  当归(去芦，jiu浸)　川芎  陈皮  甘草(炙)各15g,30g,平肝健脾,散肝舒脾,喜怒不节，肝气不平，邪乘脾胃，心腹胀满，连及两胁妨闷，头晕呕逆，脉来浮弦,上哎咀，每次12g，用水230ml，生姜5片，煎至150m1，去滓。,温服，不拘时候。,去芦,y,12.0,,,
清•陈笏庵撰,汤,内,6318.0,加味补益败毒散,《胎产秘书》卷下,生黄芪6g  人参6g  焦术3g  炙甘草2．4g  陈皮3g  归身6g  升麻0．6g  荆芥3g  银花6g  肉桂1．5g  防风3g  乳香(去油)3g,3g,益气升阳，清热祛湿。,散肝舒脾,湿热下陷，阴门生疮。,水煎，去滓。,温服,,y,12.0,,,
宋,丸,内,8569.0,豆蔻丸,《圣济总录》卷十七又名大豆蔻丸(《宣明论方》卷二,肉豆蔻(去壳)15g  羌活  防风  桔梗(炒)各7．5g  陈皮(汤浸，去白，焙)  独活　薏苡仁  人参  草豆蔻(去皮)  川芎各15g  甘草(炙)  木香各7．5g,7.5g,健脾理气，祛风化湿。,散肝舒脾,脾虚气滞，肌表不固，风邪乘之，致患胃风，颈项多汗恶风，饮食不下，膈塞不通，腹善满，失衣则照胀，食寒则泄，形瘦而腹大。,上为细末，炼蜜为丸，如梧桐子大。,每次30～40丸，米饮送服，一日三次，夜一次。,,y,12.0,,,
,丸,内,2825.0,五子内消丸,《何氏济生论》卷六,橘核  香附子  花椒子(黑者)  山栀  山楂子  苍术各51s  甘草  茴香  黄柏 元胡索  汉防己  防风各30g  人参15g,30g,疏肝理气，清热化湿。,散肝舒脾,肝气郁结，湿热下注，致患疝气。,上为末，炼蜜为丸。,每次9g，空心用盐汤送服。再用茅术煎汤，先熏后洗，毛孔内出水珠者，其病自消，不可间断。,,y,13.0,,,
金,汤,内,3611.0,升阳除湿汤 ,《脾胃论》卷下,甘草  大麦芽面(如胃寒腹鸣者加)  陈皮  猪苓各o．9g  泽泻  益智仁  半夏  防风  羌活  神曲  柴胡  升麻各1.5g  苍术3g,1.5g,升阳除湿。,散肝舒脾,脾虚湿盛，不思饮食，肠鸣腹痛，泄泻无度，小便黄少，四肢困倦。,上畋咀，作一服。用水600ml，加生姜3片，大枣2枚，同煎至200ml，去滓。,空心温服。,,y,13.0,,,
"清·焦氏(佚名)撰,刊于1868年",汤,内,4476.0,甘桔汤,《焦氏喉科枕秘》卷二,当归(酒洗)  川芎  薄荷(炒)  黄芩  山栀  连翘  甘草  银花  玄参  防风  桔梗　荆芥  大黄(jiu浸),wbz,清心解毒,散肝舒脾,心经积热，舌上生疮，状似杨梅，作事心烦者。,用水400m1，水煎，去滓。,温服，一日二次。,,n,13.0,,,
明,汤,内,6289.0,加味吴茱萸汤,《证治准绳·女科》卷一,半夏6g  吴茱萸  当归各4．5g  麦冬(去心)  干姜  白茯苓  苦桔梗  南木香  防风  牡丹皮  甘草各3g  官桂  北细辛各1．5g,3g,温补冲任。,散肝舒脾,冲任虚弱，月经衍期，或前或后，或崩漏不止，赤白带下，小腹急痛，头眩，饮食减少，气满心怯，肌肉不泽,用水400m1，加生姜3片，红枣1枚，煎至200m1，去滓。,食前服,,y,13.0,,,
明,汤,内,7187.0,当归连翘饮,《万病回春》卷五,当归  生地黄  川芎  连翘  防风  荆芥  白芷  羌活  黄芩  山栀  枳壳  甘草各等分  细辛减半。,等分,疏风清热，和血止痛,散肝舒脾,胃肠中有积热，致患牙齿疼痛，开口呷风则痛更甚，开口则臭不可闻者。,上锉一剂。水煎，去滓。,食远服,,n,13.0,,,
明,丸,内,7737.0,刘刺史丸,《鲁府禁方》卷三,肉苁蓉(酒洗)39g  覆盆子36g  蛇床子36g  菟丝子(酒制)36g  乌贼骨24g  五味子18g  当归(酒洗)36g  川芎33g  白芍30g  防风18g  黄芩15g  艾叶9g  牡蛎24g(盐泥固济煨透，去泥，研),18g,补肝益肾，收敛止带,散肝舒脾,妇女肝肾两虚，带脉失约，致患赤白带下。,上为末，炼蜜为丸，如梧桐子大。,每次30～40丸，早、晚用盐汤送服。,,y,13.0,,,
金·李杲,煮散,内,3615.0,升阳益胃汤,《内外伤辨惑论》卷中)  又名益胃汤(《医级》卷八),黄芪60g  半夏(洗，此一味脉涩者不重用)  人参(去芦)  甘草(炙)各30g  独活 防风  白芍药  羌活各15g  陈皮12g  茯苓 柴胡  泽泻  白术各9g  黄连3g,15g,益气升阳，清热祛湿。,散肝舒脾,脾胃气虚，湿热滞留，怠惰嗜卧，食少无味，体重节痛，口苦舌干，腹部痞胀，大便不调，小便频数，洒浙恶寒，表情忧郁，面色憔悴。,上哎咀。每次9g，或加至15g，用水300ml，加生姜5片，大枣2枚，煎至150ml，去滓。,早饭后温服。,,y,14.0,,,
金,汤,内,3631.0,升麻补胃汤 ,《兰室秘藏》卷下,白芍药4．5g  升麻  羌活  黄芪各3g  生地黄  熟地黄  独活  牡丹皮  炙甘草 柴胡  防风各1.5g  当归身  葛根各0.9g  肉桂少许,1.5g,升阳除湿，养血解毒。,散肝舒脾,湿毒内蕴肠氵辟下血，腹中不痛，血色紫黑者。,上锉，如麻豆大，分作二服。每次用水300m1，煎取150m1，去滓。,空腹稍热服。,,y,14.0,,,
金,煮散,内,7706.0,全生活血汤,《兰室秘藏》卷中,红花0．9g  蔓荆子  细辛各1.5g　生地黄(夏月多加之)  熟地黄各3g  藁本  川芎各4．5g  防风  羌活  独活  炙甘草  柴胡  当归身(酒洗)  葛根各6g  白芍药  升麻各9g,6g,补血升阳,散肝舒脾,妇人分娩及半产漏下，血虚气陷，昏冒不省，瞑目无所知觉。,上叹咀。每次15g，用水300m1，煎至150m1，去滓。,食前稍热服,,y,16.0,,,
清,汤,内,10074.0,补气退血汤,《产科发蒙·附录》,当归(酒洗)  阿胶  人参  黄芪  白术  栀子(炒黑)  荆芥  黄芩  地榆  艾叶(醋炒)各3g  川芎2．1g  芍药2．4g  防风2．4g  地黄4．5g  黄连  蒲黄各4．5g  甘草0．9g,2.4g,补气清热，养血止血。,散肝舒脾,妇人血崩，气血两虚而兼热者。,水煎，去滓,分二次温服,,y,17.0,,,
金,煮散,内,3610.0,升阳举经汤,《兰室秘藏》卷中,"肉桂(去皮，盛夏勿用，秋、冬用) 白芍药  红花各1．5g  细辛1．8g  人参(去芦)  熟地黄  川芎各3g  独活根  黑附子(炮制，去皮、脐)  炙甘草各4．5g  羌活  藁本(去土)  防风各6g  白术  当归  黄芪  柴胡各9g  桃仁
10个(汤浸，去皮、尖，细研)",6g,温肾益气，升阳摄血。,散肝舒脾,妇人命门火衰，脾虚气陷，不能统血，经水不止，甚则阳虚欲脱，口、鼻、眼出现假热证，或渴，其脉轻按数疾，举指弦紧或涩者。,上哎咀。每次9g，若病势顺当，渐加至15g。,水450m1，煎至150m1，去滓。空心热服。,,y,18.0,,,
金,汤,内,5133.0,生津甘露汤 ,《兰室秘藏》卷上)  又名清凉饮子(原书同卷）,升麻1．2g  防风  生甘草  汉防己 生地黄各1.5g  当归身1．8g  柴胡  羌活  炙甘草  黄芪  酒知母  酒黄芩各3g  酒龙胆草 石膏  黄柏各4．5g  红花少许  桃仁5个  杏仁10个,1.5g,升阳泻火，养血润燥。,散肝舒脾,中消。能食而瘦，口舌干，自汗，大便结燥，小便频数。,上收咀，作为一剂，用水300m1，酒10ml，煎至150ml。,空腹时稍热服。,,y,18.0,,,
清,茶,内,3368.0,午时茶,《急救经验良方》,苍术300g  陈皮300g  柴胡300g  连翘300g  白芷300g  川朴450g  枳实  楂肉  羌活  防风  前胡  藿香  甘草各300g  陈茶10kg  桔梗  麦芽  苏叶各450g  建曲300g  川芎300g,300g,解表和中，化湿导滞,散肝舒脾,风寒感冒，停食，及不服水土，腹泻腹痛。,上为细末，拌匀，五月五日午时合，糊成小块。,每次9g，加葱、生姜少许，水煎，热服。汗出即效。,,y,19.0,,,
明,丸,内,10718.0,苦参丸,《外科正宗》卷四,"苦参500g  大风子肉180g  荆芥500g  防风  白芷各180g  全蝎  何首乌  白附子  枸杞子  威灵仙  当归  大胡麻  川芎  蒺藜  大皂荚  川牛膝  牛蒡子  独活各150g  蔓荆子  风藤  羌活  连翘  苍术  天麻  杜仲  草乌
(泡，去皮尖)  甘草各90g  人参30g  砂仁60g　白花蛇60g(切片，炙黄)",180g,益气养血，清热化湿，祛风杀虫。,散肝舒脾,大麻风，毋分新久，穿破溃烂。,上为细末，醋打老米糊为丸，如梧桐子大。,每次30～40丸，食前后用温酒送服，,,y,30.0,,,
元,煮散,内,18786.0,痛泄要方,《丹溪心法》卷二,炒白术90g  炒白芍60g  炒陈皮45g  防风30g,30g,补土抑肝。,散肝舒脾,肝木乘脾，腹痛泄泻。,上锉散，分作8帖。每次用1帖，水煎，去滓。,温服。,,y,4.0,,,
明,汤,内,20761.0,蠲痛饮,《丹台玉案》卷三,甘菊6g  大黄  石膏(煅)各9g  竹茹  防风各3g,3g,清胃降火,散肝舒脾,胃火上升，牙齿疼痛，浮动出血,水煎,温服,,y,5.0,,,
清,汤,内,17452.0,清胃汤,《古今医彻》卷三,生地4．5g  石膏6g  升麻1．5g  丹皮  防风  枳壳各3g,4.5g,清胃泻火，凉血消肿。,散肝舒脾,胃热上攻，龈肿溃烂。,水煎，去滓,分二次温服,,y,6.0,,,
宋,汤,内,12369.0,茯苓饮,《圣济总录》卷一五四,白茯苓  防风  人参  白术  枳壳(去瓤，麸炒)  生姜各15g  甘草7．5g(炙),7.5g,抑肝健脾，和胃止呕。,散肝舒脾,妊娠恶阻病。心中烦闷，头眩重，憎闻食气，闻便呕逆，四肢重不自持。,分为两剂。用水600m1，煎取220ml，去滓。,分二次，食前温服。,,y,7.0,,,
清,煮散,内,16301.0,通脾泻胃汤,《医宗金鉴》卷七十七,知母3g  大黄3g  黄芩4．5g  茺蔚子3g  石膏6g  栀子3g  黑参3g  防风3g,3g,清热祛风。,散肝舒脾,黄风。发于脾经，初病雀目，日久瞳变黄色，甚而如金。脾胃风热，上冲于眼，致生黄膜，泪流赤涩，疼痛极甚。,上为粗末。用水300m1，煎至150m1，去滓。,清热祛风,,y,8.0,,,
元,煮散,内,16339.0,理脾饮,《世医得效方》卷二,陈皮(生用)  甘草(炙)  厚朴(jiang汁炒)各30g  羌活  防风  肉豆蔻  白茯苓各7．5g  川芎15g  吴茱萸(去梗)3g,7.5g,温脾和胃,散肝舒脾,脾胃不和，疟疾泻利腹痛，下部无力，体重足痿，脚下痛，饮食中满，四肢不举。,上锉散。每次6g，用水150ml，煎取105g，去滓。,空心食前服,,y,9.0,,,
清,汤,内,17456.0,清胃散,《诚书》卷六,防风  黄芩  天花粉  厚朴(姜制)　石膏(制)  枳壳  黄连  陈皮  甘草,wbz,清泻胃火,散肝舒脾,小儿胃热舒舌，弄舌,水煎，去滓,分二次温服,,n,9.0,,,
明,汤,内,16052.0,调脾除湿汤,《丹台玉案》卷五,"升麻  柴胡  防风  麦芽各6g  苍术  陈皮  猪苓  泽泻  半夏各3．6g  术通  羌
活各2．4g",6g,健脾升阳，祛湿止泻,散肝舒脾,湿气伤脾，久泻不止；中气下陷，小便黄赤，腹微作胀。,水煎，去滓,温服,,y,11.0,,,
明,汤,内,17612.0,清带四物汤,《鲁府禁方》卷三,当归(酒洗)  川芎  熟地黄  枳壳(麸炒)  香附(炒)各3g  白附子  防风各1．5g　陈皮3g  良姜1．5g  荆芥2．1g  甘草0．9g,1.5g,养血滋阴，理气燥湿。,散肝舒脾,血淋，赤白带下,上锉。加大枣3枚，酒200m1，煎至140m1，入白面1撮，入净肉汁，再煎二、三沸，去滓。,空心温服,,y,11.0,,,
明,丸,内,19020.0,滋阴清胃丸,《万病回春》卷五,当归(酒洗)  生地黄(酒洗)  牡丹皮(去骨)  栀子仁(盐水炒)各30g  软石膏(煅，醋淬)60g  黄连(jiu炒)  知母  葛粉  防风各21g　升麻  白芷各15g  生甘草节12g,21g,养阴清胃,散肝舒脾,阳明经血热，上下牙床红烂，肉缩齿根露者。,上为细末，汤泡蒸饼搅糊为丸，如绿豆大。,每次100丸，晚上用米汤送服。,,y,12.0,,,
现代,汤,内,14399.0,退热饮,《眼科全书》卷四,五味子  黄连  黄芩  车前子  栀子  石膏  连翘  龙胆草  玄参  防风  黄柏  地骨皮  茺蔚子,wbz,清散郁热,散肝舒脾,脾胃郁热，睑生风粟，如麻如米，甚如杨梅之状，摩擦瞳仁，黑睛有翳，久久渐昏，流泪不止。,水煎，去滓,食后服,,n,13.0,,,
明,汤,内,14463.0,除湿健脾汤,《万病回春》卷三,白术(炒)4．5g  苍术(米泔浸，炒)3g  白茯苓3g  白芍(醋炒)3g  当归2．4g  厚朴(姜炒)1．8g  陈皮2．4g  猪苓  泽泻各2．1g  柴胡　升麻各1．5g  防风1．8g  炙甘草1．2g,1.8g,健脾利湿,散肝舒脾,久泻，色苍而齿疏，倦怠，食减下坠。,加生姜3片，大枣1枚，水煎，去滓。,早、晚热服,,y,13.0,,,
金,煮散,内,15156.0,圆明内障升麻汤,《兰室秘藏》卷上,干姜3g  五味子6g  白茯苓9g  防风15g  白芍药18g  柴胡21g  人参  炙甘草　当归身(酒洗)  白术  升麻  葛根各30g  黄芪　羌活各45g,15g,补脾益气，升阳泻火,散肝舒脾,脾胃元气衰弱，心火亢盛，致患内障眼，视觉微昏，空中有黑花，神水变淡绿色，次则视物成二，神水变淡白色，久则不睹，神水变纯白色。,上畋咀。每次15～21g，用水450m1，煎至300m1，入黄芩、黄连6g，同煎数沸，去滓。,食远热服,,y,14.0,,,
明,汤,内,17586.0,清肝渗湿汤,《外科正宗》卷四,川芎  当归  白芍  生地  山栀  黄连  连翘  龙胆草各3g  银柴胡  泽泻  木通各1．8g  滑石6g  芦荟1.5g  甘草0．9g  防风2．4g,2.4g,清肝利湿,散肝舒脾,肝经郁滞，邪火流行，致阴肿痛，或风热作痒。,用水400ml，加淡竹叶、灯心各20件， 煎至320ml，去滓。,食前温服,,y,15.0,,,
明,丸,内,19036.0,滋荣收带丸 ,《万病回春》卷六,当归(酒洗)  白芍(jiu炒)  苍术(米泔制)  白茯苓  黄柏(jiu炒)  椿根皮(焙)各30g 白术60g  半夏(姜制)24g  川芎(盐汤浸，切)21g  香附米(yan水浸，炒)18g  防风  升麻  青皮(醋炒)各15g  木香  大甘草(炮)各12g,15g,养荣束带，清热化湿。,散肝舒脾,血崩之后，中气下陷，或有白带，小腹胀满痛甚。,上为细末，酒糊为丸，如梧桐子大。,每次12g，空心，盐汤、或米汤、或白汤送服。,,y,15.0,,,
